date,horizon,actual,predicted,model
2022-01-01,1,5.5,5.586675226941308,ARIMA
2022-02-01,1,6.2,5.724372967852551,ARIMA
2022-03-01,1,7.0,5.82594331632745,ARIMA
2022-04-01,1,9.0,5.9008649208580755,ARIMA
2022-05-01,1,9.1,5.9561295419775995,ARIMA
2022-06-01,1,9.4,5.996894530482833,ARIMA
2022-07-01,1,10.1,6.026964116669586,ARIMA
2022-08-01,1,9.9,6.049144424983092,ARIMA
2022-09-01,1,10.1,6.065505344412668,ARIMA
2022-10-01,1,11.1,6.077573692642891,ARIMA
2022-11-01,1,10.7,6.0864757002368295,ARIMA
2022-12-01,1,10.5,6.093042111620625,ARIMA
2023-01-01,1,10.1,6.097885711000456,ARIMA
2023-02-01,1,10.4,6.101458508009517,ARIMA
2023-03-01,1,10.1,6.104093919707915,ARIMA
2023-04-01,1,8.7,6.106037885402702,ARIMA
2023-05-01,1,8.7,6.107471817954798,ARIMA
2023-06-01,1,7.9,6.108529533412162,ARIMA
2023-07-01,1,6.8,6.109309738859839,ARIMA
2023-08-01,1,6.7,6.10988524386579,ARIMA
2023-09-01,1,6.7,6.110309755144019,ARIMA
2023-10-01,1,4.6,6.11062288851989,ARIMA
2023-11-01,1,3.9,6.110853865919343,ARIMA
2023-12-01,1,4.0,6.111024242388826,ARIMA
2024-01-01,1,4.0,6.111149917634206,ARIMA
2024-02-01,1,3.4,6.111242619797535,ARIMA
2024-03-01,1,3.2,6.111310999939223,ARIMA
2024-04-01,1,2.3,6.111361439363821,ARIMA
2024-05-01,1,2.0,6.111398645129867,ARIMA
2024-06-01,1,2.0,6.111426089317386,ARIMA
2024-07-01,1,2.2,6.111446333045943,ARIMA
2024-08-01,1,2.2,6.111461265480929,ARIMA
2024-09-01,1,1.7,6.111472280132405,ARIMA
2024-10-01,1,2.3,6.111480404898878,ARIMA
2024-11-01,1,2.6,6.111486397991841,ARIMA
2024-12-01,1,2.5,6.111490818692838,ARIMA
2025-01-01,1,3.0,6.111494079546196,ARIMA
2025-02-01,1,2.8,6.111496484858074,ARIMA
2022-07-01,1,9.9,4.644655,Hybrid LSTM–XGBoost
2022-08-01,1,10.1,4.602524,Hybrid LSTM–XGBoost
2022-09-01,1,11.1,4.510327,Hybrid LSTM–XGBoost
2022-10-01,1,10.7,4.451678,Hybrid LSTM–XGBoost
2022-11-01,1,10.5,4.3828607,Hybrid LSTM–XGBoost
2022-12-01,1,10.1,4.167697,Hybrid LSTM–XGBoost
2023-01-01,1,10.4,4.07078,Hybrid LSTM–XGBoost
2023-02-01,1,10.1,3.8155801,Hybrid LSTM–XGBoost
2023-03-01,1,8.7,3.6591797,Hybrid LSTM–XGBoost
2023-04-01,1,8.7,3.6607566,Hybrid LSTM–XGBoost
2023-05-01,1,7.9,3.6419911,Hybrid LSTM–XGBoost
2023-06-01,1,6.8,3.5989602,Hybrid LSTM–XGBoost
2023-07-01,1,6.7,3.632132,Hybrid LSTM–XGBoost
2023-08-01,1,6.7,3.6276748,Hybrid LSTM–XGBoost
2023-09-01,1,4.6,3.6985457,Hybrid LSTM–XGBoost
2023-10-01,1,3.9,3.61951,Hybrid LSTM–XGBoost
2023-11-01,1,4.0,3.2063622,Hybrid LSTM–XGBoost
2023-12-01,1,4.0,3.24199,Hybrid LSTM–XGBoost
2024-01-01,1,3.4,3.2207277,Hybrid LSTM–XGBoost
2024-02-01,1,3.2,3.0852673,Hybrid LSTM–XGBoost
2024-03-01,1,2.3,2.9079802,Hybrid LSTM–XGBoost
2024-04-01,1,2.0,2.1941774,Hybrid LSTM–XGBoost
2024-05-01,1,2.0,2.2464168,Hybrid LSTM–XGBoost
2024-06-01,1,2.2,2.210451,Hybrid LSTM–XGBoost
2024-07-01,1,2.2,2.4941447,Hybrid LSTM–XGBoost
2024-08-01,1,1.7,2.4263036,Hybrid LSTM–XGBoost
2024-09-01,1,2.3,1.4759693,Hybrid LSTM–XGBoost
2024-10-01,1,2.6,2.5744524,Hybrid LSTM–XGBoost
2024-11-01,1,2.5,2.9927785,Hybrid LSTM–XGBoost
2024-12-01,1,3.0,2.7809336,Hybrid LSTM–XGBoost
2025-01-01,1,2.8,3.042851,Hybrid LSTM–XGBoost
2025-02-01,1,2.6,2.7850847,Hybrid LSTM–XGBoost
2022-01-01,1,6.2,5.245500000000008,Random Forest
2022-02-01,1,7.0,5.091000000000005,Random Forest
2022-03-01,1,9.0,5.131000000000007,Random Forest
2022-04-01,1,9.1,5.136250000000007,Random Forest
2022-05-01,1,9.4,5.167750000000007,Random Forest
2022-06-01,1,10.1,5.166250000000007,Random Forest
2022-07-01,1,9.9,5.164500000000007,Random Forest
2022-08-01,1,10.1,5.038500000000005,Random Forest
2022-09-01,1,11.1,4.833500000000004,Random Forest
