horizon,model,n,metric,value
1,ARIMA,32,MAE,3.198079102147947
1,Hybrid LSTM–XGBoost,32,MAE,2.4696760468749996
1,Random Forest,32,MAE,2.2573828125000026
1,ARIMA,32,R2,-0.012913163279531181
1,Hybrid LSTM–XGBoost,32,R2,-0.10042227074626409
1,Random Forest,32,R2,0.04330424715536518
1,ARIMA,32,RMSE,3.41308283644591
1,Hybrid LSTM–XGBoost,32,RMSE,3.512432833106238
1,Random Forest,32,RMSE,3.275029871345167
3,Hybrid LSTM–XGBoost,32,MAE,2.629301628125
3,Random Forest,32,MAE,2.005226562499998
3,Hybrid LSTM–XGBoost,32,R2,-0.34079748444396807
3,Random Forest,32,R2,0.23221894798712805
3,Hybrid LSTM–XGBoost,32,RMSE,3.6863166073925173
3,Random Forest,32,RMSE,2.7895216383285346
5,Hybrid LSTM–XGBoost,32,MAE,2.340931021875
5,Random Forest,32,MAE,1.9317890625000014
5,Hybrid LSTM–XGBoost,32,R2,-0.32600092232164646
5,Random Forest,32,R2,0.16168810702824798
5,Hybrid LSTM–XGBoost,32,RMSE,3.2663868607866275
5,Random Forest,32,RMSE,2.5971588943046284
