model,horizon,rank,feature,importance
Hybrid(LSTM+XGB),1,1,LSTM_t1,0.13651341
Hybrid(LSTM+XGB),1,2,LSTM_t3,0.01684532
Hybrid(LSTM+XGB),1,3,LSTM_t5,0.002319327
Hybrid(LSTM+XGB),1,4,cpi_yoy_l1,0.00064743316
Hybrid(LSTM+XGB),1,5,cpi_yoy_l3,0.00057370134
Hybrid(LSTM+XGB),1,6,unemp_rate,0.00017346695
Hybrid(LSTM+XGB),1,7,petrol_yoy,0.00011390197
Hybrid(LSTM+XGB),1,8,cpi_yoy_l6,8.173509e-05
Hybrid(LSTM+XGB),1,9,cpi_yoy,4.47586e-05
Hybrid(LSTM+XGB),1,10,fx_usd,3.5530426e-05
Hybrid(LSTM+XGB),1,11,unemp_rate_l1,2.7755716e-05
Hybrid(LSTM+XGB),1,12,fx_usd_l1,1.43106245e-05
Hybrid(LSTM+XGB),1,13,bank_rate,8.042353e-06
Hybrid(LSTM+XGB),1,14,gva_growth,4.405707e-06
Hybrid(LSTM+XGB),1,15,bank_rate_l1,3.5372632e-06
Hybrid(LSTM+XGB),1,16,petrol_yoy_l1,1.7875021e-06
Hybrid(LSTM+XGB),1,17,gva_growth_l1,6.789892e-07
Hybrid(LSTM+XGB),3,1,LSTM_t3,0.11061728
Hybrid(LSTM+XGB),3,2,LSTM_t1,0.033407267
Hybrid(LSTM+XGB),3,3,LSTM_t5,0.014489181
Hybrid(LSTM+XGB),3,4,cpi_yoy_l1,0.00092289306
Hybrid(LSTM+XGB),3,5,cpi_yoy_l3,0.00013008411
Hybrid(LSTM+XGB),3,6,cpi_yoy,0.000107930544
Hybrid(LSTM+XGB),3,7,petrol_yoy_l1,6.3663974e-05
Hybrid(LSTM+XGB),3,8,fx_usd_l1,5.3488417e-05
Hybrid(LSTM+XGB),3,9,fx_usd,4.2282398e-05
Hybrid(LSTM+XGB),3,10,bank_rate,1.1318344e-05
Hybrid(LSTM+XGB),3,11,cpi_yoy_l6,9.600301e-06
Hybrid(LSTM+XGB),3,12,petrol_yoy,8.86896e-06
Hybrid(LSTM+XGB),3,13,unemp_rate_l1,5.0740164e-06
Hybrid(LSTM+XGB),3,14,bank_rate_l1,2.4572932e-06
Hybrid(LSTM+XGB),3,15,gva_growth_l1,3.8962907e-07
Hybrid(LSTM+XGB),3,16,gva_growth,2.0892207e-07
Hybrid(LSTM+XGB),3,17,unemp_rate,0.0
Hybrid(LSTM+XGB),5,1,LSTM_t5,0.09378417
Hybrid(LSTM+XGB),5,2,LSTM_t3,0.02511769
Hybrid(LSTM+XGB),5,3,LSTM_t1,0.012009022
Hybrid(LSTM+XGB),5,4,cpi_yoy_l1,0.0011377243
Hybrid(LSTM+XGB),5,5,cpi_yoy,0.00013351683
Hybrid(LSTM+XGB),5,6,cpi_yoy_l3,0.00011941224
Hybrid(LSTM+XGB),5,7,petrol_yoy,9.147137e-05
Hybrid(LSTM+XGB),5,8,fx_usd,7.002985e-05
Hybrid(LSTM+XGB),5,9,petrol_yoy_l1,4.1974527e-05
Hybrid(LSTM+XGB),5,10,cpi_yoy_l6,1.7573222e-05
Hybrid(LSTM+XGB),5,11,bank_rate_l1,1.378329e-05
Hybrid(LSTM+XGB),5,12,unemp_rate_l1,6.801494e-06
Hybrid(LSTM+XGB),5,13,bank_rate,6.695465e-06
Hybrid(LSTM+XGB),5,14,fx_usd_l1,6.5815802e-06
Hybrid(LSTM+XGB),5,15,unemp_rate,5.2894948e-06
Hybrid(LSTM+XGB),5,16,gva_growth_l1,4.5044953e-06
Hybrid(LSTM+XGB),5,17,gva_growth,2.9771586e-06
