CPI ANNUAL RATE 00: ALL ITEMS 2015=100,Date,YearMonth,Gross Value Added - Monthly (3 month on 3 month growth) :CVM SA,Bank Rate,Exchange_USD,"Unemployment rate (aged 16 and over, seasonally adjusted): %",RPI: Percentage change over 12 months - Petrol and Oil incl Fuel Oil
,1971-02-01,1971-02,,,,3.8,
,1971-03-01,1971-03,,,,3.9,
,1971-04-01,1971-04,,,,4.0,
,1971-05-01,1971-05,,,,4.1,
,1971-06-01,1971-06,,,,4.1,
,1971-07-01,1971-07,,,,4.2,
,1971-08-01,1971-08,,,,4.2,
,1971-09-01,1971-09,,,,4.3,
,1971-10-01,1971-10,,,,4.4,
,1971-11-01,1971-11,,,,4.4,
,1971-12-01,1971-12,,,,4.5,
,1972-01-01,1972-01,,,,4.5,
,1972-02-01,1972-02,,,,4.5,
,1972-03-01,1972-03,,,,4.5,
,1972-04-01,1972-04,,,,4.5,
,1972-05-01,1972-05,,,,4.4,
,1972-06-01,1972-06,,,,4.4,
,1972-07-01,1972-07,,,,4.3,
,1972-08-01,1972-08,,,,4.3,
,1972-09-01,1972-09,,,,4.2,
,1972-10-01,1972-10,,,,4.2,
,1972-11-01,1972-11,,,,4.2,
,1972-12-01,1972-12,,,,4.1,
,1973-01-01,1973-01,,,,4.0,
,1973-02-01,1973-02,,,,3.9,
,1973-03-01,1973-03,,,,3.8,
,1973-04-01,1973-04,,,,3.8,
,1973-05-01,1973-05,,,,3.7,
,1973-06-01,1973-06,,,,3.7,
,1973-07-01,1973-07,,,,3.6,
,1973-08-01,1973-08,,,,3.6,
,1973-09-01,1973-09,,,,3.5,
,1973-10-01,1973-10,,,,3.5,
,1973-11-01,1973-11,,,,3.4,
,1973-12-01,1973-12,,,,3.4,
,1974-01-01,1974-01,,,,3.5,
,1974-02-01,1974-02,,,,3.6,
,1974-03-01,1974-03,,,,3.6,
,1974-04-01,1974-04,,,,3.6,
,1974-05-01,1974-05,,,,3.6,
,1974-06-01,1974-06,,,,3.6,
,1974-07-01,1974-07,,,,3.7,
,1974-08-01,1974-08,,,,3.7,
,1974-09-01,1974-09,,,,3.7,
,1974-10-01,1974-10,,,,3.7,
,1974-11-01,1974-11,,,,3.7,
,1974-12-01,1974-12,,,,3.8,
,1975-01-01,1975-01,,,,3.9,
,1975-02-01,1975-02,,,,4.0,
,1975-03-01,1975-03,,,,4.1,
,1975-04-01,1975-04,,,,4.2,
,1975-05-01,1975-05,,,,4.3,
,1975-06-01,1975-06,,,,4.5,
,1975-07-01,1975-07,,,,4.6,
,1975-08-01,1975-08,,,,4.7,
,1975-09-01,1975-09,,,,4.8,
,1975-10-01,1975-10,,,,4.9,
,1975-11-01,1975-11,,,,5.0,
,1975-12-01,1975-12,,,,5.1,
,1976-01-01,1976-01,,,,5.2,
,1976-02-01,1976-02,,,,5.3,
,1976-03-01,1976-03,,,,5.3,
,1976-04-01,1976-04,,,,5.4,
,1976-05-01,1976-05,,,,5.4,
,1976-06-01,1976-06,,,,5.4,
,1976-07-01,1976-07,,,,5.4,
,1976-08-01,1976-08,,,,5.5,
,1976-09-01,1976-09,,,,5.5,
,1976-10-01,1976-10,,,,5.5,
,1976-11-01,1976-11,,,,5.5,
,1976-12-01,1976-12,,,,5.5,
,1977-01-01,1977-01,,,,5.5,
,1977-02-01,1977-02,,,,5.5,
,1977-03-01,1977-03,,,,5.5,
,1977-04-01,1977-04,,,,5.5,
,1977-05-01,1977-05,,,,5.5,
,1977-06-01,1977-06,,,,5.6,
,1977-07-01,1977-07,,,,5.6,
,1977-08-01,1977-08,,,,5.7,
,1977-09-01,1977-09,,,,5.7,
,1977-10-01,1977-10,,,,5.7,
,1977-11-01,1977-11,,,,5.7,
,1977-12-01,1977-12,,,,5.7,
,1978-01-01,1978-01,,,,5.6,
,1978-02-01,1978-02,,,,5.6,
,1978-03-01,1978-03,,,,5.6,
,1978-04-01,1978-04,,,,5.6,
,1978-05-01,1978-05,,,,5.6,
,1978-06-01,1978-06,,,,5.5,
,1978-07-01,1978-07,,,,5.5,
,1978-08-01,1978-08,,,,5.5,
,1978-09-01,1978-09,,,,5.5,
,1978-10-01,1978-10,,,,5.4,
,1978-11-01,1978-11,,,,5.4,
,1978-12-01,1978-12,,,,5.3,
,1979-01-01,1979-01,,,,5.3,
,1979-02-01,1979-02,,,,5.4,
,1979-03-01,1979-03,,,,5.3,
,1979-04-01,1979-04,,,,5.3,
,1979-05-01,1979-05,,,,5.3,
,1979-06-01,1979-06,,,,5.3,
,1979-07-01,1979-07,,,,5.3,
,1979-08-01,1979-08,,,,5.4,
,1979-09-01,1979-09,,,,5.4,
,1979-10-01,1979-10,,,,5.4,
,1979-11-01,1979-11,,,,5.5,
,1979-12-01,1979-12,,,,5.6,
,1980-01-01,1980-01,,,,5.7,
,1980-02-01,1980-02,,,,5.8,
,1980-03-01,1980-03,,,,6.0,
,1980-04-01,1980-04,,,,6.1,
,1980-05-01,1980-05,,,,6.3,
,1980-06-01,1980-06,,,,6.5,
,1980-07-01,1980-07,,,,6.8,
,1980-08-01,1980-08,,,,7.1,
,1980-09-01,1980-09,,,,7.4,
,1980-10-01,1980-10,,,,7.7,
,1980-11-01,1980-11,,,,8.0,
,1980-12-01,1980-12,,,,8.3,
,1981-01-01,1981-01,,,,8.6,
,1981-02-01,1981-02,,,,8.9,
,1981-03-01,1981-03,,,,9.1,
,1981-04-01,1981-04,,,,9.4,
,1981-05-01,1981-05,,,,9.6,
,1981-06-01,1981-06,,,,9.7,
,1981-07-01,1981-07,,,,9.8,
,1981-08-01,1981-08,,,,9.9,
,1981-09-01,1981-09,,,,10.0,
,1981-10-01,1981-10,,,,10.1,
,1981-11-01,1981-11,,,,10.2,
,1981-12-01,1981-12,,,,10.3,
,1982-01-01,1982-01,,,,10.4,
,1982-02-01,1982-02,,,,10.4,
,1982-03-01,1982-03,,,,10.5,
,1982-04-01,1982-04,,,,10.5,
,1982-05-01,1982-05,,,,10.6,
,1982-06-01,1982-06,,,,10.6,
,1982-07-01,1982-07,,,,10.7,
,1982-08-01,1982-08,,,,10.8,
,1982-09-01,1982-09,,,,10.9,
,1982-10-01,1982-10,,,,11.0,
,1982-11-01,1982-11,,,,11.1,
,1982-12-01,1982-12,,,,11.2,
,1983-01-01,1983-01,,,,11.2,
,1983-02-01,1983-02,,,,11.3,
,1983-03-01,1983-03,,,,11.3,
,1983-04-01,1983-04,,,,11.3,
,1983-05-01,1983-05,,,,11.4,
,1983-06-01,1983-06,,,,11.5,
,1983-07-01,1983-07,,,,11.5,
,1983-08-01,1983-08,,,,11.5,
,1983-09-01,1983-09,,,,11.6,
,1983-10-01,1983-10,,,,11.6,
,1983-11-01,1983-11,,,,11.7,
,1983-12-01,1983-12,,,,11.7,
,1984-01-01,1984-01,,,,11.8,
,1984-02-01,1984-02,,,,11.8,
,1984-03-01,1984-03,,,,11.9,
,1984-04-01,1984-04,,,,11.9,
,1984-05-01,1984-05,,,,11.9,
,1984-06-01,1984-06,,,,11.8,
,1984-07-01,1984-07,,,,11.8,
,1984-08-01,1984-08,,,,11.7,
,1984-09-01,1984-09,,,,11.7,
,1984-10-01,1984-10,,,,11.7,
,1984-11-01,1984-11,,,,11.6,
,1984-12-01,1984-12,,,,11.6,
,1985-01-01,1985-01,,,,11.5,
,1985-02-01,1985-02,,,,11.5,
,1985-03-01,1985-03,,,,11.4,
,1985-04-01,1985-04,,,,11.4,
,1985-05-01,1985-05,,,,11.4,
,1985-06-01,1985-06,,,,11.3,
,1985-07-01,1985-07,,,,11.3,
,1985-08-01,1985-08,,,,11.3,
,1985-09-01,1985-09,,,,11.3,
,1985-10-01,1985-10,,,,11.3,
,1985-11-01,1985-11,,,,11.3,
,1985-12-01,1985-12,,,,11.3,
,1986-01-01,1986-01,,,,11.3,
,1986-02-01,1986-02,,,,11.3,
,1986-03-01,1986-03,,,,11.3,
,1986-04-01,1986-04,,,,11.3,
,1986-05-01,1986-05,,,,11.3,
,1986-06-01,1986-06,,,,11.4,
,1986-07-01,1986-07,,,,11.4,
,1986-08-01,1986-08,,,,11.4,
