"Title","RPI: Percentage change over 12 months - Petrol and Oil incl Fuel Oil"
"CDID","DOGQ"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","19-11-2025"
"Next release","17 December 2025"
"Important notes",
"1988","-1.7"
"1989","7.2"
"1990","12.7"
"1991","6.7"
"1992","2.0"
"1993","7.9"
"1994","4.3"
"1995","4.8"
"1996","5.2"
"1997","9.3"
"1998","4.2"
"1999","8.5"
"2000","14.0"
"2001","-5.0"
"2002","-3.2"
"2003","4.0"
"2004","6.0"
"2005","9.8"
"2006","6.0"
"2007","2.5"
"2008","16.7"
"2009","-8.8"
"2010","17.1"
"2011","15.3"
"2012","2.0"
"2013","-0.9"
"2014","-5.2"
"2015","-14.1"
"2016","-2.9"
"2017","9.3"
"2018","7.9"
"2019","0.4"
"2020","-9.9"
"2021","14.5"
"2022","30.1"
"2023","-10.6"
"2024","-5.1"
"1988 Q1","-3.1"
"1988 Q2","-1.5"
"1988 Q3","-1.3"
"1988 Q4","-1.0"
"1989 Q1","2.7"
"1989 Q2","10.1"
"1989 Q3","7.3"
"1989 Q4","8.6"
"1990 Q1","8.3"
"1990 Q2","5.1"
"1990 Q3","15.4"
"1990 Q4","21.7"
"1991 Q1","9.5"
"1991 Q2","13.5"
"1991 Q3","6.2"
"1991 Q4","-0.8"
"1992 Q1","4.5"
"1992 Q2","0.6"
"1992 Q3","-1.1"
"1992 Q4","3.9"
"1993 Q1","8.4"
"1993 Q2","8.8"
"1993 Q3","9.1"
"1993 Q4","5.3"
"1994 Q1","6.6"
"1994 Q2","2.2"
"1994 Q3","4.9"
"1994 Q4","3.9"
"1995 Q1","5.6"
"1995 Q2","6.1"
"1995 Q3","4.0"
"1995 Q4","3.8"
"1996 Q1","3.7"
"1996 Q2","1.7"
"1996 Q3","3.8"
"1996 Q4","11.6"
"1997 Q1","9.5"
"1997 Q2","8.3"
"1997 Q3","13.0"
"1997 Q4","6.4"
"1998 Q1","3.1"
"1998 Q2","9.6"
"1998 Q3","3.3"
"1998 Q4","1.3"
"1999 Q1","2.8"
"1999 Q2","6.7"
"1999 Q3","9.9"
"1999 Q4","14.6"
"2000 Q1","18.4"
