date,cpi_yoy,petrol_yoy,bank_rate,fx_usd,gva_growth,unemp_rate,cpi_yoy_l1,cpi_yoy_l3,cpi_yoy_l6,petrol_yoy_l1,fx_usd_l1,bank_rate_l1,gva_growth_l1,unemp_rate_l1,cpi_t1,cpi_t3,cpi_t5
1997-12-01,1.7,3.4,5.9375,1.6597,1.4,6.4,1.9,1.8,1.7,7.5,1.689,5.9375,1.0,6.5,1.5,1.7,2.0
1998-01-01,1.5,3.2,7.25,1.6353,1.4,6.4,1.7,1.9,2.0,3.4,1.6597,5.9375,1.4,6.4,1.6,1.8,1.7
1998-02-01,1.6,2.9,7.25,1.6407,1.4,6.4,1.5,1.9,2.0,3.2,1.6353,7.25,1.4,6.4,1.7,2.0,1.4
1998-03-01,1.7,3.3,7.25,1.662,0.8,6.3,1.6,1.7,1.8,2.9,1.6407,7.25,1.4,6.4,1.8,1.7,1.3
1998-04-01,1.8,10.0,7.25,1.6733,0.9,6.3,1.7,1.5,1.9,3.3,1.662,7.25,0.8,6.3,2.0,1.4,1.4
1998-05-01,2.0,10.0,7.25,1.6366,0.5,6.3,1.8,1.6,1.9,10.0,1.6733,7.25,0.9,6.3,1.7,1.3,1.4
1998-06-01,1.7,8.8,7.25,1.6507,0.6,6.3,2.0,1.7,1.7,10.0,1.6366,7.25,0.5,6.3,1.4,1.4,1.4
1998-07-01,1.4,5.3,7.25,1.6437,0.2,6.3,1.7,1.8,1.5,8.8,1.6507,7.25,0.6,6.3,1.3,1.4,1.6
1998-08-01,1.3,3.0,7.25,1.632,0.3,6.2,1.4,2.0,1.6,5.3,1.6437,7.25,0.2,6.3,1.4,1.4,1.6
1998-09-01,1.4,1.5,7.25,1.6822,0.3,6.2,1.3,1.7,1.7,3.0,1.632,7.25,0.3,6.2,1.4,1.6,1.4
1998-10-01,1.4,2.0,7.25,1.6952,0.5,6.2,1.4,1.4,1.8,1.5,1.6822,7.25,0.3,6.2,1.4,1.6,1.7
